State,GovPol
Alabama,Republican
Alaska,Republican
Arizona,Republican
Arkansas,Republican
California,Democratic
Colorado,Democratic
Connecticut,Democratic
Delaware,Democratic
Florida,Republican
Georgia,Republican
Hawaii,Democratic
Idaho,Republican
Illinois,Democratic
Indiana,Republican
Iowa,Republican
Kansas,Democratic
Kentucky,Democratic
Louisiana,Democratic
Maine,Democratic
Maryland,Republican
Massachusetts,Republican
Michigan,Democratic
Minnesota,Democratic
Mississippi,Republican
Missouri,Republican
Montana,Democratic
Nebraska,Republican
Nevada,Democratic
New Hampshire,Republican
New Jersey,Democratic
New Mexico,Democratic
New York,Democratic
North Carolina,Democratic
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democratic
Pennsylvania,Democratic
Rhode Island,Democratic
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
Virginia,Democratic
Washington,Democratic
West Virginia,Republican
Wisconsin,Democratic
Wyoming,Republican
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Democratic
,
,
,
,
,
,
,
,
,
,Democratic
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Democratic–Farmer–Labor
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Democratic
,
,
,
,Democratic
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,Republican
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,[note 1]
